ar|transaction_types|idx_ar_tt_code|CREATE INDEX idx_ar_tt_code ON ar.transaction_types USING btree (type_code)|f
ar|transaction_types|transaction_types_type_code_key|CREATE UNIQUE INDEX transaction_types_type_code_key ON ar.transaction_types USING btree (type_code)|t
ar|workflow_definitions|workflow_definitions_workflow_code_key|CREATE UNIQUE INDEX workflow_definitions_workflow_code_key ON ar.workflow_definitions USING btree (workflow_code)|t
collab|__drizzle_migrations|__drizzle_migrations_hash_key|CREATE UNIQUE INDEX __drizzle_migrations_hash_key ON collab.__drizzle_migrations USING btree (hash)|t
collab|activities|activities_assigned_to_idx|CREATE INDEX activities_assigned_to_idx ON collab.activities USING btree (assigned_to)|f
collab|activities|activities_due_date_idx|CREATE INDEX activities_due_date_idx ON collab.activities USING btree (due_date)|f
collab|activities|activities_due_date_idx1|CREATE INDEX activities_due_date_idx1 ON collab.activities USING btree (due_date)|f
collab|activities|activities_res_model_res_id_idx|CREATE INDEX activities_res_model_res_id_idx ON collab.activities USING btree (res_model, res_id)|f
collab|activities|activities_res_model_res_id_idx1|CREATE INDEX activities_res_model_res_id_idx1 ON collab.activities USING btree (res_model, res_id)|f
collab|activities|activities_res_model_res_id_idx2|CREATE INDEX activities_res_model_res_id_idx2 ON collab.activities USING btree (res_model, res_id)|f
collab|activities|activities_status_idx|CREATE INDEX activities_status_idx ON collab.activities USING btree (status)|f
collab|activities|activities_status_idx1|CREATE INDEX activities_status_idx1 ON collab.activities USING btree (status)|f
collab|calendar_events|calendar_events_event_date_idx|CREATE INDEX calendar_events_event_date_idx ON collab.calendar_events USING btree (event_date)|f
collab|calendar_events|calendar_events_event_type_idx|CREATE INDEX calendar_events_event_type_idx ON collab.calendar_events USING btree (event_type)|f
collab|channel_messages|channel_messages_channel_id_created_at_idx|CREATE INDEX channel_messages_channel_id_created_at_idx ON collab.channel_messages USING btree (channel_id, created_at)|f
collab|channels|channels_is_active_idx|CREATE INDEX channels_is_active_idx ON collab.channels USING btree (is_active)|f
collab|channels|channels_name_key|CREATE UNIQUE INDEX channels_name_key ON collab.channels USING btree (name)|t
collab|dm_messages|dm_messages_conversation_id_created_at_idx|CREATE INDEX dm_messages_conversation_id_created_at_idx ON collab.dm_messages USING btree (conversation_id, created_at)|f
collab|todos|todos_assigned_to_idx|CREATE INDEX todos_assigned_to_idx ON collab.todos USING btree (assigned_to)|f
collab|todos|todos_is_complete_idx|CREATE INDEX todos_is_complete_idx ON collab.todos USING btree (is_complete)|f
collab|todos|todos_is_complete_idx1|CREATE INDEX todos_is_complete_idx1 ON collab.todos USING btree (is_complete)|f
core|__drizzle_migrations|__drizzle_migrations_hash_key|CREATE UNIQUE INDEX __drizzle_migrations_hash_key ON core.__drizzle_migrations USING btree (hash)|t
core|addresses|idx_addresses_partner|CREATE INDEX idx_addresses_partner ON core.addresses USING btree (partner_id)|f
core|addresses|idx_addresses_partner_id|CREATE INDEX idx_addresses_partner_id ON core.addresses USING btree (partner_id)|f
core|addresses|idx_addresses_type|CREATE INDEX idx_addresses_type ON core.addresses USING btree (address_type)|f
core|addresses|idx_core_addr_country|CREATE INDEX idx_core_addr_country ON core.addresses USING btree (country)|f
core|addresses|idx_core_addr_partner|CREATE INDEX idx_core_addr_partner ON core.addresses USING btree (partner_id)|f
core|addresses|idx_core_addr_type|CREATE INDEX idx_core_addr_type ON core.addresses USING btree (address_type)|f
core|attachments|idx_core_attachments_entity|CREATE INDEX idx_core_attachments_entity ON core.attachments USING btree (entity_name, entity_id)|f
core|attachments|idx_core_attachments_type|CREATE INDEX idx_core_attachments_type ON core.attachments USING btree (attachment_type)|f
core|business_units|business_units_bu_code_key|CREATE UNIQUE INDEX business_units_bu_code_key ON core.business_units USING btree (bu_code)|t
core|business_units|idx_core_bu_company|CREATE INDEX idx_core_bu_company ON core.business_units USING btree (company_id)|f
core|companies|companies_company_code_key|CREATE UNIQUE INDEX companies_company_code_key ON core.companies USING btree (company_code)|t
core|companies|idx_companies_corporate|CREATE INDEX idx_companies_corporate ON core.companies USING btree (corporate_id)|f
core|companies|idx_core_comp_corporate|CREATE INDEX idx_core_comp_corporate ON core.companies USING btree (corporate_id)|f
core|event_store|idx_core_events_agg|CREATE INDEX idx_core_events_agg ON core.event_store USING btree (aggregate_type, aggregate_id, event_version)|f
core|event_store|idx_core_events_ts|CREATE INDEX idx_core_events_ts ON core.event_store USING btree ("timestamp")|f
core|event_store|idx_event_aggregate|CREATE INDEX idx_event_aggregate ON core.event_store USING btree (aggregate_type, aggregate_id, event_version)|f
core|event_store|idx_event_jsonb|CREATE INDEX idx_event_jsonb ON core.event_store USING gin (payload)|f
core|event_store|idx_event_store_aggregate|CREATE INDEX idx_event_store_aggregate ON core.event_store USING btree (aggregate_type, aggregate_id, event_version)|f
core|event_store|idx_event_store_jsonb|CREATE INDEX idx_event_store_jsonb ON core.event_store USING gin (payload)|f
core|locations|idx_core_loc_warehouse|CREATE INDEX idx_core_loc_warehouse ON core.locations USING btree (warehouse_id)|f
core|locations|idx_core_loc_zone|CREATE INDEX idx_core_loc_zone ON core.locations USING btree (zone_name)|f
core|locations|idx_locations_warehouse|CREATE INDEX idx_locations_warehouse ON core.locations USING btree (warehouse_id)|f
core|locations|uq_warehouse_location|CREATE UNIQUE INDEX uq_warehouse_location ON core.locations USING btree (warehouse_id, location_code)|t
core|objects|idx_objects_module|CREATE INDEX idx_objects_module ON core.objects USING btree (module)|f
core|objects|idx_objects_parent|CREATE INDEX idx_objects_parent ON core.objects USING btree (parent_object_id)|f
core|objects|idx_objects_type|CREATE INDEX idx_objects_type ON core.objects USING btree (object_type)|f
core|objects|objects_object_code_unique|CREATE UNIQUE INDEX objects_object_code_unique ON core.objects USING btree (object_code)|t
core|partner_bank_accounts|idx_partner_bank_accounts_partner|CREATE INDEX idx_partner_bank_accounts_partner ON core.partner_bank_accounts USING btree (partner_id)|f
core|partner_contacts|idx_partner_contacts_partner|CREATE INDEX idx_partner_contacts_partner ON core.partner_contacts USING btree (partner_id)|f
core|partner_groups|partner_groups_group_code_key|CREATE UNIQUE INDEX partner_groups_group_code_key ON core.partner_groups USING btree (group_code)|t
core|partner_sites|idx_core_ps_partner|CREATE INDEX idx_core_ps_partner ON core.partner_sites USING btree (partner_id)|f
core|partner_sites|idx_party_sites_partner|CREATE INDEX idx_party_sites_partner ON core.partner_sites USING btree (partner_id)|f
core|partners|idx_core_partners_code|CREATE INDEX idx_core_partners_code ON core.partners USING btree (partner_code)|f
core|partners|idx_core_partners_country|CREATE INDEX idx_core_partners_country ON core.partners USING btree (country_code)|f
core|partners|idx_core_partners_status|CREATE INDEX idx_core_partners_status ON core.partners USING btree (party_status) WHERE (is_active = true)|f
core|partners|idx_partners_country|CREATE INDEX idx_partners_country ON core.partners USING btree (country_code)|f
core|partners|idx_partners_credit_status|CREATE INDEX idx_partners_credit_status ON core.partners USING btree (credit_status)|f
core|partners|idx_partners_is_customer|CREATE INDEX idx_partners_is_customer ON core.partners USING btree (is_customer) WHERE (is_customer = true)|f
core|partners|idx_partners_is_employee|CREATE INDEX idx_partners_is_employee ON core.partners USING btree (is_employee) WHERE (is_employee = true)|f
core|partners|idx_partners_is_vendor|CREATE INDEX idx_partners_is_vendor ON core.partners USING btree (is_vendor) WHERE (is_vendor = true)|f
core|partners|idx_partners_partner_group|CREATE INDEX idx_partners_partner_group ON core.partners USING btree (partner_group_id)|f
core|partners|idx_partners_status|CREATE INDEX idx_partners_status ON core.partners USING btree (party_status) WHERE (is_active = true)|f
core|partners|partners_partner_code_key|CREATE UNIQUE INDEX partners_partner_code_key ON core.partners USING btree (partner_code)|t
core|permissions|idx_permissions_module|CREATE INDEX idx_permissions_module ON core.permissions USING btree (module)|f
core|permissions|permissions_permission_code_unique|CREATE UNIQUE INDEX permissions_permission_code_unique ON core.permissions USING btree (permission_code)|t
